"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"STEM","1522 W FILLMORE ST","Near West Side","7:45AM - 2:45PM","7:40 AM","2:45 PM - 5:45 PM","K-8","(773) 534-7300","https://STEMMagnetAcademy.com","https://STEMMagnetAcademy.com/apps/contact","","","","","","","","","41.868584"," -87.664975"
"STEVENSON","8010 S KOSTNER AVE","Ashburn","08:30 AM-03:30 PM","8:20","","PK-8","(773) 535-2280","http://stevenson.cps.edu","http://stevenson.cps.edu/apps/contact","True","True","7:00 AM","Right at School","""The Out of School Time Program starts tomorrow at 7:00 AM."" <a href=""https://www.stevenson.cps.edu/"">[1]</a>
","6:00 PM","Right at School","""The Out of School Time Program starts tomorrow at 6:00 PM."" <a href=""https://www.stevenson.cps.edu/"">[1]</a>
","41.747115"," -87.731671"
"STOCK","7507 W BIRCHWOOD AVE","Edison Park","9:00 AM-11:30 PM, 12:15 - 2:45 PM","","","PK","(773) 534-1215","https://www.stock.cps.edu","https://www.stock.cps.edu/contact.html","","","","","","","","","42.0169"," -87.8142"
"STONE","6239 N LEAVITT ST","West Ridge","8:00AM - 3:00PM","","3:00PM-6:00PM","K-8","(773) 534-2045","http://stoneacademy.net/","http://stoneacademy.net/apps/contact","","True","","","","6:00 PM","Mrs. Oden, Extended Day Coordinator","""Tuition-Based After Care Program (3:00-6:00 PM)"" <a href=""http://stoneacademy.net/apps/pages/index.jsp?uREC_ID=2107662&type=d&pREC_ID=2147897"">[1]</a>
""Stone Academy is pleased to offer an on-site tuition-based afterschool program. Created to accommodate the needs of Stone families, this is a safe and supervised afterschool experience for Stone Academy K-8 students who would otherwise attend an off-site program."" <a href=""http://stoneacademy.net/apps/pages/index.jsp?uREC_ID=2107662&type=d&pREC_ID=2147898"">[2]</a>
","41.995367"," -87.684799"
"STOWE","3444 W WABANSIA AVE","Humboldt Park","08:45 AM-03:45 PM","","04:00 - 5:30 PM","PK-8","(773) 534-4175","https://stowe.cps.edu","https://stowe.cps.edu/apps/contact","","True","","","","May 15","","""Sept. 30- May 15"" <a href=""https://www.stowe.cps.edu/"">[1]</a>
""Afterschool Programs / Programas extracurricular"" <a href=""https://www.stowe.cps.edu/apps/news/"">[2]</a>
","41.911946"," -87.713323"
"SUDER","2022 W WASHINGTON BLVD","Near West Side","9:00 AM-4:00 PM","7:30-8:50AM RIGHT AT SCHOOL BEFORE SCHOOL CARE","4:00-6:00PM RIGHT AT SCHOOL PROGRAMS/ AFTERCARE","PK-8","(773) 534-7685","https://sudermontessori.org","https://sudermontessori.org/apps/contact","True","True","7:00 AM","Apollo","""Before School Hours (Apollo)
7:00 AM
8:45 AM"" <a href=""https://www.sudermontessori.org/apps/bell_schedules/"">[1]</a>
","6:00 PM","Apollo","""After School Hours (Apollo)
4:00 PM
6:00 PM"" <a href=""https://www.sudermontessori.org/apps/bell_schedules/"">[1]</a>
","41.883222"," -87.677642"
"SUMNER","4320 W 5TH AVE","West Garfield Park","08:45 AM-03:45 PM","8:30 AM","3:45 PM - 5:30 PM","PK-8","(773) 534-6730","https://sumnermsca.org","https://sumnermsca.org/apps/contact","","True","","","","","Park District staff","""Parents in need of after-school care can register their child during one of the summer orientation sessions."" <a href=""https://www.sumnermsca.org/apps/news/show_news.jsp?REC_ID=922586&id=0"">[1]</a>
","41.870836"," -87.73353"
"SUTHERLAND","10015 S LEAVITT ST","Beverly","8:00 AM-3:00 PM","07:40 PM","","K-8","(773) 535-2580","https://sutherland.cps.edu","https://sutherland.cps.edu/apps/contact","","","","","","","","","41.711453"," -87.676827"
"SWIFT","5900 N WINTHROP AVE","Edgewater","08:00 AM-03:00 PM","8:00 AM","3:00 PM","PK-8","(773) 534-2695","https://swiftelementary.org","https://swiftelementary.org/apps/contact","","","","","","","","","41.989147"," -87.658302"
"TALCOTT","1840 W OHIO ST","West Town","07:45 AM-02:45 PM","","","PK-8","(773) 534-7130","https://talcottfama.org","https://talcottfama.org/apps/contact","","","","","","","","","41.892412"," -87.673728"
"TALMAN","5450 S TALMAN AVE","Gage Park","7:30 AM-2:30 PM","","","PK-8","(773) 535-7850","https://talman.cps.edu","https://talman.cps.edu/apps/contact","","","","","","","","","41.794056"," -87.690267"
"TANNER","7350 S EVANS AVE","Greater Grand Crossing","07:45 AM-02:45 PM","","","PK-8","(773) 535-3870","https://tannerschool.org","https://tannerschool.org/apps/contact","","True","","","","","","""Academic After School"" <a href=""https://www.tannerschool.org/apps/departments/clubs.jsp"">[1]</a>
","41.76068"," -87.606797"
"TARKINGTON","3330 W 71ST ST","Chicago Lawn","08:15 AM-03:15 PM","7:45AM","3:30-5:30PM","PK-8","(773) 535-4700","https://tarkington.cps.edu","https://tarkington.cps.edu/apps/contact","","","","","","","","","41.764415"," -87.70645"
"TAYLOR","9912 S AVENUE H","East Side","8:15 AM-3:15 PM","8:00 AM","","PK-8","(773) 535-6240","http://taylor.cps.edu/","http://taylor.cps.edu/apps/contact","True","True","8:00 AM","Algebra - 7th & 8th (Before School)","""[Algebra - 7th & 8th (Before School)](/apps/pages/index.jsp?uREC_ID=543212&type=d)"" <a href=""https://www.taylor.cps.edu/apps/departments/clubs.jsp"">[1]</a>
""Earliest Drop Off | 8:00 AM | — | —"" <a href=""https://www.taylor.cps.edu/apps/bell_schedules/"">[2]</a>
","6:00 PM","ELL Tutoring OLCE 1st - 8th (After School)","""[ELL Tutoring OLCE 1st - 8th (After School)](/apps/pages/index.jsp?uREC_ID=543210&type=d)"" <a href=""https://www.taylor.cps.edu/apps/departments/clubs.jsp"">[1]</a>
""After School Hours | 3:15 PM | 6:00 PM | 165 min"" <a href=""https://www.taylor.cps.edu/apps/bell_schedules/"">[2]</a>
","41.715478"," -87.532976"
"TELPOCHCALLI","2832 W 24TH BLVD","South Lawndale","8:00 AM-3:00 PM","7:45 AM","3:00-5:00","PK-8","(773) 534-1402","http://www.telpochcalli.cps.edu","http://www.telpochcalli.cps.edu/apps/contact","","","","","","","","","41.847955"," -87.696012"
"THOMAS","3625 S HOYNE AVE","Mckinley Park","8:00 AM-4:30 PM","9:00 AM","NONE","PK","(773) 535-4088","http://thomas.cps.edu/","","","","","","","","","","41.827783"," -87.677548"
"THORP J","8914 S BUFFALO AVE","South Chicago","07:45 AM-02:45 PM","","","PK-8","(773) 535-6250","https://jnthorp.org","https://jnthorp.org/apps/contact","","","","","","","","","41.733332"," -87.544286"
"THORP O","6024 W WARWICK AVE","Dunning","07:30AM - 2:30PM","7:00 AM","PAID AFTER-CARE 5:30 PM","K-8","(773) 534-3640","https://oathorpacademy.org","https://oathorpacademy.org/apps/contact","True","True","7:00 AM","Thorpcare","""The doors open at 7:00AM to allow everyone to get breakfast and get to their rooms on time."" <a href=""https://oathorpacademy.org/apps/news/article/1962475"">[1]</a>
""Students will be welcomed by Faculty, Music and Thorpie from 7:00-7:30AM."" <a href=""https://oathorpacademy.org/apps/news/rss?categoryid=19664"">[2]</a>
","6:00 PM","Thorpcare","""All after-school programs and Thorpcare are cancelled for tomorrow due to the expected winter weather."" <a href=""https://oathorpacademy.org/apps/news/rss?categoryid=19664"">[1]</a>
","41.948579"," -87.777637"
"TILL","6543 S CHAMPLAIN AVE","Woodlawn","8:15 AM-3:15 PM","8:00 AM","","PK-8","(773) 535-0570","https://emmetttillelementary.com","https://emmetttillelementary.com/apps/contact","","True","","","","4:20 PM","OST","""OST Afterschool"" <a href=""https://www.emmetttillelementary.com/apps/departments/clubs.jsp"">[1]</a>
""OST Afterschool Tuesdays & Thursday | 3:20 PM | 4:20 PM | 60 min"" <a href=""https://www.emmetttillelementary.com/apps/bell_schedules/"">[2]</a>
","41.775432"," -87.609363"
"TILTON","223 N KEELER AVE","West Garfield Park","08:45 AM-03:45 PM","","","PK-8","(773) 534-6746","https://tiltonstem.com","https://tiltonstem.com/apps/contact","","","","","","","","","41.88411"," -87.730572"
"TUBMAN","2851 N SEMINARY AVE","Lake View","7:45AM - 2:45PM","","3:00 PM - 6:00 PM","PK-8","(773) 534-5725","https://tubmanelementarycps.org/","https://tubmanelementarycps.org/apps/contact","","True","","","","6:00 PM","Right At School","""The program runs Monday through Friday from 2:45 to 6:00 PM. The program is run at Tubman, and supervised by Right at School staff."" <a href=""https://tubmanelementarycps.org/extracurriculars/"">[1]</a>
","41.934134"," -87.656234"
"TURNER-DREW","9300 S PRINCETON AVE","Roseland","07:45 AM-02:45 PM","","","K-8","(773) 535-5720","https://turner-drew.cps.edu","https://turner-drew.cps.edu/apps/contact","","","","","","","","","41.725617"," -87.63017"
"TWAIN","5134 S LOTUS AVE","Garfield Ridge","8:30 AM-3:30 PM","","","PK-8","(773) 535-2290","https://twain.cps.edu","https://twain.cps.edu/apps/contact","","","","","","","","","41.799054"," -87.758934"
"VANDERPOEL","9510 S PROSPECT AVE","Beverly","07:30 AM-02:30 PM","7:15 AM","2:30 PM - 5:30 PM ","K-8","(773) 535-2690","http://www.vhaelementary.org/","http://www.vhaelementary.org/apps/contact","","True","","","","4:30","Various Instructors","""[Orion's Mind After-Care Program](/apps/pages/index.jsp?uREC_ID=426500&type=d)"" <a href=""https://www.vhaelementary.org/apps/departments/clubs.jsp"">[1]</a>
""Welcome to our Fall 2024 OST Program."" <a href=""https://www.vhaelementary.org/apps/pages/index.jsp?uREC_ID=568320&type=d"">[2]</a>
","41.720825"," -87.665564"
"VICK","2554 W 113TH ST","Morgan Park","7:45 AM-2:45 PM FULL DAY","8:45AM","","PK","(773) 535-2671","https://barbaravick.org","https://barbaravick.org/apps/contact","","","","","","","","","41.688199"," -87.685682"
"VIRTUAL ACADEMY ES","1326 W 14TH ST","Near West Side","8:30AM-3:30PM","","","PK-8","(773) 553-2020","https://virtualacademy.cps.edu","https://virtualacademy.cps.edu/apps/contact","","True","","","","","","""## Extended Day Courses Occur AFTER school"" <a href=""https://www.virtualacademy.cps.edu/apps/pages/index.jsp?uREC_ID=520436&type=d&termREC_ID=&pREC_ID=1090539"">[1]</a>
","41.863454"," -87.659506"
"VOLTA","4950 N AVERS AVE","Albany Park","8:00 AM-3:00 PM","7:50 AM","3:00PM-4:30PM","PK-8","(773) 534-5080","https://volta.cps.edu","https://volta.cps.edu/apps/contact","","True","","","","December 15","Ms. Hartunian and Mr. Arce","""We had over 24 after school programs and around 380 students sign up."" <a href=""https://volta.cps.edu/apps/news/article/1853480"">[1]</a>
","41.971642"," -87.724611"
"VON LINNE","3221 N SACRAMENTO AVE","Avondale","08:00 AM-03:00 PM","7:30","3:00-6:00","PK-8","(773) 534-5262","https://www.linneschool.org","https://www.linneschool.org/apps/contact","","","","","","","","","41.940017"," -87.70264"
"WACKER","9746 S MORGAN ST","Washington Heights","8:00 AM-3:00 PM","8:00 AM","3:00-4:30 PM","PK-8","(773) 535-2821","https://wackerwildcats.org","","","","","","","","","","41.716201"," -87.64805"
"WADSWORTH","6650 S ELLIS AVE","Woodlawn","8:00 AM-3:00 PM","","","PK-8","(773) 535-0730","https://wadsworthstem.com","https://wadsworthstem.com/apps/contact","","","","","","","","","41.773486"," -87.601024"
"WALSH","2015 S PEORIA ST","Lower West Side","7:30AM - 2:30 PM","7:15AM","2:30 PM - 4:00PM","PK-8","(773) 534-7950","http://walshschool.cps.edu","http://walshschool.cps.edu/contact/","","","","","","","","","41.854844"," -87.648092"
"WARD J","2701 S SHIELDS AVE","Armour Square","07:45 AM-02:45 PM","7:30 AM","","PK-8","(773) 534-9050","https://www.jameswardschool.com","https://www.jameswardschool.com/apps/contact","","","","","","","","","41.843988"," -87.635362"
"WARD L","646 N LAWNDALE AVE","Humboldt Park","08:00 AM-03:00 PM","8:00 AM","","PK-8","(773) 534-6440","http://lwardstem.cps.edu","http://lwardstem.cps.edu/contact/","","","","","","","","","41.893243"," -87.718803"
"WARREN","9239 S JEFFERY AVE","Calumet Heights","8:15 AM-3:15 PM","8:00 AM","3:15-4:15","PK-8","(773) 535-6625","https://warrencps.org","https://warrencps.org/apps/contact","","","","","","","","","41.726771"," -87.575358"
"WASHINGTON G ES","3611 E 114TH ST","East Side","7:45 AM - 2:45 PM","7:50 AM","","PK-8","(773) 535-5010","https://gwashington.cps.edu","https://gwashington.cps.edu/apps/contact","","","","","","","","","41.688139"," -87.536021"
"WASHINGTON H ES","9130 S UNIVERSITY AVE","Burnside","8:45 AM-3:45 PM","8:30 AM","","PK-8","(773) 535-6225","https://www.hwespacers.org","https://www.hwespacers.org/apps/contact","","","","","","","","","41.728542"," -87.596262"
"WATERS","4540 N CAMPBELL AVE","Lincoln Square","8:00 AM - 3:00 PM","7:00 AM","03:00 PM-06:00 PM","PK-8","(773) 534-5090","http://www.waterselementary.org","","","","","","","","","","41.964373"," -87.691338"
"WEBSTER","4055 W ARTHINGTON ST","West Garfield Park","08:30AM-03-30PM","08:15AM","3:30-5:00 PM","PK-8","(773) 534-6925","https://www.cps.edu/webster","https://www.cps.edu/webster/apps/contact","","","","","","","","","41.869924"," -87.72753"
"WELLS ES","249 E 37TH ST","Douglas","08:30 AM-03:30 PM","08:00AM","3:30PM - 5:30PM","PK-8","(773) 535-1204","http://wellsprepelementary.com","http://wellsprepelementary.com/apps/contact","True","True","7:30 AM","Not specified","""Before Care

7:30 AM

8:30 AM

60 min"" <a href=""https://www.wellsprepelementary.com/apps/bell_schedules"">[1]</a>
","5:30 PM","CYC (Chicago Youth Centers)","""After Care

3:30 PM

5:30 PM

120 min"" <a href=""https://www.wellsprepelementary.com/apps/bell_schedules"">[1]</a>
","41.827363"," -87.619785"
"WENTWORTH","1340 W 71ST ST","West Englewood","09:00 AM-04:00 PM","","","PK-8","(773) 535-3394","https://wentworthschool.org","https://wentworthschool.org/apps/contact","True","True","","Out of School Time","""[Out of School Time](/apps/pages/index.jsp?uREC_ID=522299&type=d)"" <a href=""https://www.wentworthschool.org/apps/departments/?show=CLU"">[1]</a>
","5:30 PM","Out of School Time","""[Out of School Time](/apps/pages/index.jsp?uREC_ID=522299&type=d)"" <a href=""https://www.wentworthschool.org/apps/departments/?show=CLU"">[1]</a>
""| After School | 4:00 PM | 5:30 PM | 90 min |"" <a href=""https://www.wentworthschool.org/apps/bell_schedules/"">[2]</a>
","41.765084"," -87.658211"
"WEST PARK","1425 N TRIPP AVE","Humboldt Park","07:45 AM-02:45 PM","7:30 AM","2:45 PM - 4:00 PM","PK-8","(773) 534-4940","https://westparkcps.org","https://westparkcps.org/apps/contact","","","","","","","","","41.906915"," -87.732449"
"WEST RIDGE","6700 N WHIPPLE ST","West Ridge","08:30 AM-03:30 PM","","","PK-8","(773) 534-8250","https://westridgeelementary.org","https://westridgeelementary.org/apps/contact","","","","","","","","","42.002967"," -87.705923"
"WESTCOTT","409 W 80TH ST","Chatham","8:45 AM-3:45 PM","","","PK-8","(773) 535-3090","https://westcott.cps.edu","https://westcott.cps.edu/apps/contact","","","","","","","","","41.748876"," -87.634756"
"WHISTLER","11533 S ADA ST","West Pullman","8:30 AM-3:30 PM","","","PK-8","(773) 535-5560","https://cps.edu/whistler","https://cps.edu/whistler/apps/contact","","","","","","","","","41.683915"," -87.65539"
"WHITE","1136 W 122ND ST","West Pullman","08:15 AM-03:15 PM","","","PK-8","(773) 535-5672","https://whitecareeracademy.org","","","","","","","","","","41.672317"," -87.650544"
"WHITNEY","2815 S KOMENSKY AVE","South Lawndale","7:45 AM-2:45 PM","","","PK-8","(773) 534-1560","http://whitney.cps.edu","","","True","","","","","Enlace Chicago Community Schools","""Today, Eli Whitney Community School has over 350 students participating regularly in out of school time activities."" <a href=""http://whitney.cps.edu/community-school.html"">[1]</a>
","41.840088"," -87.725551"
"WHITTIER","1900 W 23RD ST","Lower West Side","8:15 AM - 3:15PM","","","PK-8","(773) 535-4590","http://whittierschool.org","http://whittierschool.org/apps/contact","True","True","","","""We offer a wide range of enriching activities before and after-school, providing students with opportunities to explore their interests and talents in the classroom and beyond."" <a href=""https://www.whittierschool.org/why-whittier/"">[1]</a>
","","","""We offer a wide range of enriching activities before and after-school, providing students with opportunities to explore their interests and talents in the classroom and beyond."" <a href=""https://www.whittierschool.org/why-whittier/"">[1]</a>
","41.850489"," -87.673397"
